room_id,escaper_id,roomrun_id,room_name_splitted,company_name_splitted,location,keywords,hashtag,min_players,max_players,website,phone,phone_2,address,latitude,longitude,waze_link,moovit_link,region_splitted,is_closed_on_weekends,is_double,is_performance,is_vr,soldier_discount,soldier_discount_weekend,student_discount,student_discount_weekend,children_discount,children_discount_weekend,is_gift_card,escape_card,birthday_discount,is_actor,is_linear,is_parallel,is_beginner,is_for_children,is_for_religious,is_scary,is_for_disabled,is_for_hearing_impaired,is_for_pregnant,is_credit_card_accepted,arseny_did,sharona_did,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,price_11,price_12,weekend_price_1,weekend_price_2,weekend_price_3, weekend_price_4,weekend_price_5,weekend_price_6,weekend_price_7,weekend_price_8,weekend_price_9,weekend_price_10,weekend_price_11,weekend_price_12
10,20,double-agent,סוכן כפול, אקזיט גיים | exit game,אשדוד,,#חדרבריחה_סוכןכפול,2,5,http://www.exitgame.co.il/he/Games/3/%D7%A1%D7%95%D7%9B%D7%9F-%D7%9B%D7%A4%D7%95%D7%9C?utm_source=escape-bot,058-69955775,,"התקשורת 5, אשדוד",31.813890,34.657093,http://tinyurl.com/jl8nwnp,http://tinyurl.com/kbx24bv,דרום | הדרום,,0,,,15,15,10,10,,,1,,,0,,,,,,,,,,,,,,100,87,78,70,,,,,,,,,120,100,88,80,,,,,,,
11,243,aladdin,אלאדין | אלדין, אקזיט גיים | exit game,אשדוד,,#חדרבריחה_אלאדין,2,5,http://www.exitgame.co.il/he/Games/10/%D7%90%D7%9C%D7%90%D7%93%D7%99%D7%9F?utm_source=escape-bot,058-69955775,,"התקשורת 5, אשדוד",31.813890,34.657093,http://tinyurl.com/jl8nwnp,http://tinyurl.com/lwstyxx,דרום | הדרום,,0,,,15,15,10,10,,,1,,,0,,,1,1,,0,,,,,,,,100,87,78,70,,,,,,,,,120,100,88,80,,,,,,,
12,58,breaking-bad,שובר שורות | breaking bad,live quest,אשדוד,,#חדרבריחה_שוברשורות,2,6,http://www.livequest.co.il/%D7%A9%D7%95%D7%91%D7%A8-%D7%A9%D7%95%D7%A8%D7%95%D7%AA/?utm_source=escape-bot,054-7161311,,"שלזינגר 1, אשדוד",31.818807,34.669912,http://tinyurl.com/j8uv33p,http://tinyurl.com/k5l7gdt,דרום | הדרום,,0,,,20,20,10,10,,,,,,0,,,1,,,,,,1,,,,,100,90,80,70,65,,,,,,,,120,100,90,80,75,,,,,,
13,197,coma,תרדמת,live quest,אשדוד,,#חדרבריחה_תרדמת,2,4,http://www.livequest.co.il/%D7%AA%D7%A8%D7%93%D7%9E%D7%AA/?utm_source=escape-bot,054-7161311,,"שלזינגר 1, אשדוד",31.818807,34.669912,http://tinyurl.com/j8uv33p,http://tinyurl.com/kjbunrd,דרום | הדרום,,0,,,20,20,10,10,,,1,,,0,,,,,,,,,1,,,,,100,90,80,,,,,,,,,,120,100,90,,,,,,,,
14,198,ghost-machine,מכונה לתקשור נשמות | אדיסון | תומאס אדיסון,quest house,אשדוד,,#חדרבריחה_מכונתאדיסון,2,6,http://questhouse.co.il/he/%D7%97%D7%93%D7%A8%D7%99%D7%9D/?utm_source=escape-bot,08-9339870,058-7535555,"התקשורת 8, אשדוד",31.813712,34.657145,http://tinyurl.com/zqtnovw,http://tinyurl.com/mdjj8dh,דרום | הדרום,,0,,,,,,,,,,,,0,,,,,,,,,,,1,1,,100,90,85,80,75,,,,,,,,120,103,95,88,82,,,,,,
15,199,shadows-wars,מלחמות הצללים,quest house,אשדוד,,#חדרבריחה_מלחמותהצללים,2,6,http://questhouse.co.il/he/%D7%97%D7%93%D7%A8%D7%99%D7%9D/?utm_source=escape-bot,08-9339870,058-7535555,"התקשורת 8, אשדוד",31.813712,34.657145,http://tinyurl.com/zqtnovw,http://tinyurl.com/lj55qjg,דרום | הדרום,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,100,90,85,80,75,,,,,,,,120,103,95,88,82,,,,,,
16,28,secretroomashdod,חזרה לUSSR | ussr | חזרה לussr,secret room,אשדוד,,#חדרבריחה_ussr,2,5,http://secretroom.co.il/city/ashdod/?utm_source=escape-bot,052-7266852,,המסחר 1 אשדוד,31.807274,34.645274,http://tinyurl.com/zs77sn8,http://tinyurl.com/l7q98jl,דרום | הדרום,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,100,100,80,80,,,,,,,,,100,100,80,80,,,,,,,
17,161,denominatoin,הכת הסודית ,adventure room,אשקלון,,#חדרבריחה_הכתהסודית,2,6,http://www.adventureroom.co.il/default.asp?SID=2&CID=1&IID=2&PgN=1&utm_source=escape-bot,054-7473723,,"הפנינים 38, אשקלון",31.668523,34.601611,http://tinyurl.com/gskhdfa,http://tinyurl.com/lov59ky,דרום | הדרום,,0,,,10,10,10,10,,,,,,0,,,1,,,1,,,,,,,,110,100,90,85,75,,,,,,,,120,110,100,90,80,,,,,,
18,113,the-chemist-ashkelon,הכימאי,escape zone | אסקייפ זון,אשקלון,,#חדרבריחה_הכימאי,2,6,http://www.escape-zone.co.il/he/room/alchemists-chamber-3/?utm_source=escape-bot,08-8659970,,"צה""ל 29, אשקלון",31.665019,34.589354,http://tinyurl.com/hpjvmv6,http://tinyurl.com/lyc2gfc,דרום | הדרום,,0,,,,,,,,,1,,,0,,,1,,,,,,,,,,,90,85,80,75,70,,,,,,,,100,95,90,85,80,,,,,,
19,112,wonder-zone-ashkelon,וונדרזון | ונדרזון,escape zone | אסקייפ זון,אשקלון,,#חדרבריחה_וונדרזון,2,6,http://www.escape-zone.co.il/he/room/%D7%95%D7%95%D7%A0%D7%93%D7%A8-%D7%96%D7%95%D7%9F-2/?utm_source=escape-bot,08-8659970,,"צה""ל 29, אשקלון",31.665019,34.589354,http://tinyurl.com/hpjvmv6,http://tinyurl.com/n3vjkgv,דרום | הדרום,,0,,,,,,,,,1,,,0,,,,,,,,,,,,,,90,85,80,75,70,,,,,,,,100,95,90,85,80,,,,,,
20,169,homealone,שכחו אותי בבית,livequest,אשקלון,,#חדרבריחה_שכחואותיבבית,2,4,http://www.livequest.co.il/%D7%A9%D7%9B%D7%97%D7%95-%D7%90%D7%95%D7%AA%D7%99-%D7%91%D7%91%D7%99%D7%AA/?utm_source=escape-bot,054-7161311,,"בית המשפט 4, אשקלון",31.664530,34.587605,http://tinyurl.com/hnyus9b,http://tinyurl.com/m5suvyq,דרום | הדרום,,0,,,20,20,10,10,,,1,,,0,,,1,1,,,,,1,,,,,100,87,78,,,,,,,,,,120,100,88,,,,,,,,
21,99,time-square-atlantis,אטלנטיס,escaperoom | escape room | אסקייפ רום,אשקלון,,#חדרבריחה_אטלנטיס,2,10,http://www.escaperoom.co.il/ashkelon-atlantis?utm_source=escape-bot,058-6440641,050-3341072,"הנוטרים ,1 אשקלון",31.665336,34.584816,http://tinyurl.com/hfhgn5q,http://tinyurl.com/mxo5o4w,דרום | הדרום,,0,,,10,10,10,10,,,,,,0,,,1,,,,,,,,,,,105,95,90,85,80,80,80,80,,,,,105,95,90,85,80,80,80,80,,,
22,,,סוד הגרעין הישראלי,בית מוריה,באר שבע,,,2,10,https://www.bmoriah.org.il/sod.html?utm_source=escape-bot,08-6409760,052-3183328,"אברהם אבינו 91, באר שבע",31.269735,34.794354,http://tinyurl.com/jv6gph5,http://tinyurl.com/k6njkk3,דרום | הדרום | ב״ש | אר שבע,1,0,,,,,,,,,,,,0,,,,,1,,1,,,,,,,110,95,85,80,70,60,60,60,,,,,110,95,85,80,70,60,60,60,,,
23,107,doomsday,שעת חירום,escaperoom | escape room | אסקייפ רום,באר שבע,,#חדרבריחה_שעתחירום,2,6,http://www.escaperoom.co.il/beer-sheva-doomsday?utm_source=escape-bot,08-6716772,,"הדסה 53, באר שבע, קומה 2-",31.240853,34.790173,http://tinyurl.com/gv5z845,http://tinyurl.com/mg5fbse,דרום | הדרום | ב״ש | אר שבע,,0,,,20,20,,,50,50,1,,,0,,,1,,,0,,,,1,,,,120,100,90,80,80,,,,,,,,120,100,90,80,80,,,,,,
24,241,prison-break-beer-sheva,נמלטים,escaperoom | escape room | אסקייפ רום,באר שבע,,#חדרבריחה_נמלטיםבש,2,6,http://www.escaperoom.co.il/beer-sheva-prison-break?utm_source=escape-bot,08-6716772,,"הדסה 53, באר שבע, קומה 2-",31.240853,34.790173,http://tinyurl.com/gv5z845,http://tinyurl.com/kdzv7qs,דרום | הדרום | ב״ש | אר שבע,,0,,,20,20,,,50,50,1,,,0,,,1,,,0,,,,1,,,,120,100,90,80,80,,,,,,,,120,100,90,80,80,,,,,,
25,110,dungeon,הצינוק,אקזיט רום | exit room,באר שבע,,#חדרבריחה_הצינוק,2,5,http://exitroom.co.il/rooms/dungeon-3-3-3/?lang=he&utm_source=escape-bot,077-5569386,,"ההסתדרות 37, באר שבע",31.239554,34.788806,http://tinyurl.com/z8jwmc8,http://tinyurl.com/k5xx7a5,דרום | הדרום | ב״ש | אר שבע,,0,,,10,10,,,10,10,1,,,0,,,,0,,1,,,,,,,,120,100,88,80,,,,,,,,,120,100,88,80,,,,,,,
26,34,hunting-club,מועדון ציד | מועדון הציד,אקזיט רום | exit room,באר שבע,,#חדרבריחה_מועדוןהצייד,4,6,http://exitroom.co.il/rooms/hunting-club-2/?lang=he&utm_source=escape-bot,054-8132233,,"ההסתדרות 19, באר שבע",31.238811,34.788100,http://tinyurl.com/j368j2u,http://tinyurl.com/k39drx7,דרום | הדרום | ב״ש | אר שבע,,0,,,10,10,,,10,10,1,,,0,,,1,1,,1,,,,,,,,,,88,80,78,,,,,,,,,,88,80,78,,,,,,
27,106,bank-beersheva,שוד בנק,אקזיט רום | exit room,באר שבע,,#חדרבריחה_שודבנק,3,6,http://exitroom.co.il/rooms/bank-beersheva-2/?lang=he&utm_source=escape-bot,054-8132233,,"ההסתדרות 19, באר שבע",31.238811,34.788100,http://tinyurl.com/j368j2u,http://tinyurl.com/lp57nl9,דרום | הדרום | ב״ש | אר שבע,,0,,,10,10,,,10,10,1,,,0,,,,1,,,,,,,,,,,100,88,80,78,,,,,,,,,100,88,80,78,,,,,,
28,166,spaceroom,ארמגדון,gameon,באר שבע,,#חדרבריחה_ארמגדון,2,6,http://www.gameon-escaperooms.co.il/?utm_source=escape-bot,08-6267879,,"מצדה 6, מרכז הנגב, באר שבע",31.258449,34.795816,http://tinyurl.com/j4em97c,http://tinyurl.com/khlbahf,דרום | הדרום | ב״ש | אר שבע,,0,,,10,10,,,,,1,10,,0,1,1,1,1,,0,1,1,1,1,,,,120,100,90,85,80,,,,,,,,120,100,90,85,80,,,,,,
29,60,egypt,מצרים העתיקה - האוצר האבוד | מצרים העתיקה | האוצר האבוד,gameon,באר שבע,,#חדרבריחה_מצרים,2,6,http://www.gameon-escaperooms.co.il/?utm_source=escape-bot,08-6267879,,"מצדה 6, מרכז הנגב, באר שבע",31.258449,34.795816,http://tinyurl.com/j4em97c,http://tinyurl.com/m6h575h,דרום | הדרום | ב״ש | אר שבע,,0,,,10,10,,,,,1,10,,0,1,1,1,1,,0,1,1,1,1,,,,120,100,90,85,80,,,,,,,,120,100,90,85,80,,,,,,
30,,,קניבל בצ'רנוביל,x room,באר שבע,,#חדרבריחה_קניבלבצרנובילֿ,2,6,https://www.x-roomb7.com?utm_source=escape-bot,055-9576319,,"יאיר שטרן 43, באר שבע",31.241166,34.790976,http://tinyurl.com/jufqjxa,http://tinyurl.com/ke75guj,דרום | הדרום | ב״ש | אר שבע,,0,,,10,,10,,,,,,,0,,,,,,1,,,,0,,,,120,115,110,105,100,,,,,,,,120,115,110,105,100,,,,,,
31,202,holiday-in-scotland,חופשה בסקוטלנד,brainzz,בלפוריה,,#חדרבריחה_חופשהבסקוטלנד,2,6,http://www.brainzz.co.il/?utm_source=escape-bot,04-6416663,,מושב בלפוריה,32.629988,35.296281,http://tinyurl.com/js44fyg,http://tinyurl.com/nxvzlwz,צפון | הצפון | גליל | הגליל,,0,,,10,10,10,10,,,,,,0,,,,,,1,,,,1,,,,100,90,80,70,70,,,,,,,,125,110,100,90,90,,,,,,
32,167,the-exorcist,מגרש השדים,no escape,בת ים,,#חדרבריחה_מגרשהשדים,2,5,http://www.noescape.co.il/the-exorcist?utm_source=escape-bot,052-5485548,,"אהוד קינמון 29, בת ים",32.010716,34.749985,http://tinyurl.com/hbqu3jd,http://tinyurl.com/mk7sejy,מרכז | המרכז | בת-ים,,0,,,,,,,,,,,,0,,,1,0,,1,,,,0,,1,,110,100,90,80,,,,,,,,,110,100,90,80,,,,,,,
33,37,horrors-of-trenton,אימת טרנטון | טרנטון,rsq,בת ים,,#חדרבריחה_אימתטרנטון,2,6,http://rsqisrael.com/heb/index?utm_source=escape-bot,03-6095110,,"מצודת בית""ר 8, בת ים",32.013383,34.750362,http://tinyurl.com/jxmox7f,http://tinyurl.com/lbehg7p,מרכז | המרכז | בת-ים,,0,,,,,15,15,,,,,100,0,1,1,1,0,,1,0,0,1,1,,,,110,95,90,85,80,,,,,,,,120,110,100,95,90,,,,,,
34,235,freezer,המקפיא,rsq,בת ים,,#חדרבריחה_המקפיא,2,4,http://rsqisrael.com/heb/index?utm_source=escape-bot,03-6095110,,"מצודת בית""ר 8, בת ים",32.013383,34.750362,http://tinyurl.com/jxmox7f,http://tinyurl.com/nxabcsr,מרכז | המרכז | בת-ים,,0,,,,,15,15,,,,,100,0,,,,,,,,,,1,,,,110,95,90,85,80,,,,,,,,120,110,100,95,90,,,,,,
35,314,,בית היתומים,rsq,בת ים,,#חדרבריחהביתהיתומים,2,6,http://rsqisrael.com/heb/index?utm_source=escape-bot,03-6095110,,"מצודת בית""ר 8, בת ים",32.013383,34.750362,http://tinyurl.com/jxmox7f,http://tinyurl.com/nxabcsr,מרכז | המרכז | בת-ים,,0,1,,,,,,,,,,,1,,,,0,,1,,,,1,,,,110,95,90,85,80,,,,,,,,120,110,100,95,90,,,,,,
337,111,carmen-mona-lisa,כרמן סאן דייגו,north-escape | north escape,הגושרים,,#חדרבריחה_כרמןסאןדייגו,2,6,www.north-escape.co.il?utm_source=escape-bot,055-6674537,,קיבוץ הגושרים,33.221485,35.623028,http://tinyurl.com/z68azde,http://tinyurl.com/knld7j8,צפון | הצפון | גליל | הגליל,,0,,,10,,10,,30,,1,10,,0,0,1,1,1,,0,0,1,1,1,,,,100,90,80,74,70,,,,,,,,115,110,100,90,80,,,,,,
36,319,,קופר איירליינס,north-escape | north escape,הגושרים,,#חדרבריחה_קופראיירליינס,3,6,www.north-escape.co.il?utm_source=escape-bot,055-6674537,,קיבוץ הגושרים,33.221485,35.623028,http://tinyurl.com/z68azde,http://tinyurl.com/knld7j8,צפון | הצפון | גליל | הגליל,,0,,,10,,10,,30,,1,10,,,,1,0,,,0,,,,,,,,100,90,80,74,70,,,,,,,,115,110,100,90,80,,,,,,
349,162,the-museum,המוזאון | מוזיאון | המוזיאון | מוזאון,escape plan,הוד השרון,,#חדרבריחה_המוזיאון,2,8,http://escape-plan.co.il/?utm_source=escape-bot,058-6959503,,"בני ברית 8, הוד השרון",32.154458,34.890522,http://tinyurl.com/z6sxvy3,http://tinyurl.com/lxuulct,שרון | השרון,,0,,,20,20,10,10,50,50,,,,0,,,1,1,,,1,,,,1,1,,110,100,90,80,80,71,,,,,,,120,110,100,90,83,74,,,,,
37,115,the-matrix,מטריקס,braineffect,הרצליה,,#חדרבריחה_המטריקס,2,5,http://braineffect.co.il/matrix/?utm_source=escape-bot,09-8617767,,גלגלי הפלדה 6 הרצליה פיתוח,32.163124,34.808599,http://tinyurl.com/zyzukt3,http://tinyurl.com/k7bqtnr,מרכז | המרכז | שרון | השרון | הרצלייה | הרצליה פיתוח,,0,,,15,15,,,50,50,1,,,0,,,1,1,,,,,,,,,,105,100,95,90,,,,,,,,,105,100,95,90,,,,,,,
38,27,fordow-cyber-attack,פורדו,braineffect,הרצליה,,#חדרבריחה_מתקפתסייבר,2,7,http://braineffect.co.il/fordow/?utm_source=escape-bot,09-8617767,,גלגלי הפלדה 6 הרצליה פיתוח,32.163124,34.808599,http://tinyurl.com/zyzukt3,http://tinyurl.com/lt7kqbt,מרכז | המרכז | שרון | השרון | הרצלייה | הרצליה פיתוח,,0,,,15,15,,,50,50,1,,,0,,,1,1,,,,,,,1,1,,105,100,95,90,85,80,,,,,,,105,100,95,90,85,80,,,,,
39,76,caribbean-pirates-dead-mans-chest,בריחת הפיראטים,brainit | בריינאיט | ברייניט,הרצליה,,#חדרבריחה_בריחתהפיראטים,2,6,https://brainit.co.il/f1/room/pirates/?utm_source=escape-bot,09-7923338,,"משכית 9, הרצליה",32.165581,34.811594,http://tinyurl.com/jnrudzl,http://tinyurl.com/m9vbxpd,מרכז | המרכז | שרון | השרון | הרצלייה | הרצליה פיתוח,,0,,,10,10,10,10,,,1,,100,0,,,1,1,,,,,,,,,,115,100,90,80,80,,,,,,,,115,100,90,80,80,,,,,,
40,21,the-iranian-threat,האיום האיראני,breakout | ברייקאאוט | the rooms | דה רומס | דה רומז,הרצליה,,#חדרבריחה_האיוםהאיראני,2,8,http://breakout.co.il/%D7%94%D7%90%D7%99%D7%95%D7%9D-%D7%94%D7%90%D7%99%D7%A8%D7%90%D7%A0%D7%99/?utm_source=escape-bot,03-6193464,055-6628740,"הבוסתן 35, הרצליה",32.177441,34.844512,http://tinyurl.com/h74h622,http://tinyurl.com/meesvzg,מרכז | המרכז | שרון | השרון | הרצלייה,,0,,,10,10,10,10,50,50,1,10,,0,1,1,1,1,,0,1,1,1,1,1,1,,120,110,100,90,80,75,75,,,,,,120,110,100,90,80,75,75,,,,
41,195,challenge-pirates-herzliya,האתגר: פיראטים | פיראטים | פירטים,צ׳אלנג׳ |challenge,הרצליה,,#חדרבריחה_האתגרפיראטים,3,7,http://www.challenge-israel.co.il/product/%D7%94%D7%90%D7%AA%D7%92%D7%A8-%D7%A4%D7%99%D7%A8%D7%90%D7%98%D7%99%D7%9D/?utm_source=escape-bot,09-799-8833,,"ברקת 5, הרצליה",32.167421,34.806918,http://tinyurl.com/jmwq9nk,http://tinyurl.com/m32wdzl,מרכז | המרכז | שרון | השרון | הרצלייה | הרצליה פיתוח,,0,,,10,10,10,10,,,,,50,0,1,1,1,1,,1,0,1,0,1,,,,,120,115,110,100,100,,,,,,,,120,115,110,100,100,,,,,
42,268,challenge-top-secret-herzliya,האתגר: סודי ביותר | האתגר | סודי ביותר | האתגר סודי ביותר,צ׳אלנג׳ |challenge,הרצליה,,#חדרבריחה_תיקיםבאפלה,3,6,http://exitroom.co.il/rooms/secret-files/?utm_source=escape-bot,054-6300617,,"משכית 9, הרצליה",32.165581,34.811594,http://tinyurl.com/jnrudzl,http://tinyurl.com/kl2h44b,מרכז | המרכז | שרון | השרון | הרצלייה | הרצליה פיתוח,,1,,,10,10,,,10,10,1,,,0,,,,,,,,,,,,,,,100,88,80,78,,,,,,,,,100,88,80,78,,,,,,
352,317,,האתגר: דירה 68 | דירה 68,צ׳אלנג׳ |challenge,הרצליה,,#חדרבריחה_דירה68,2,7,http://www.challenge-israel.co.il/product/%D7%94%D7%90%D7%AA%D7%92%D7%A8-%D7%93%D7%99%D7%A8%D7%94-68/,054-6300617,,"משכית 9, הרצליה",32.165581,34.811594,http://tinyurl.com/jnrudzl,http://tinyurl.com/kl2h44b,מרכז | המרכז | שרון | השרון | הרצלייה | הרצליה פיתוח,,0,,,10,10,,,,,,,,,,,0,0,,1,0,0,0,1,,,,125,110,105,100,95,90,,,,,,,125,110,105,100,95,90,,,,,
43,242,exitroom-eldorado,אלדורדו | אלדוראדו,אקזיט רום | exit room,אשדוד,,#חדרבריחה_אלדורדו,2,5,http://exitroom.co.il/rooms/eldorado-2-2-2-2-2-2-2-3-2-2-2/?lang=he&utm_source=escape-bot,053-9533466,,"האורגים 39, אשדוד",31.814422,34.656281,http://tinyurl.com/grwbvhh,http://tinyurl.com/m2ep4eu,דרום | הדרום,,0,,,10,10,,,10,10,1,,,0,,,,,,,,,,,,,,,100,88,80,78,,,,,,,,,100,88,80,78,,,,,,
44,127,the-missing-bat,מבצע עטלף,mind gamed,הרצליה,,#חדרבריחה_מבצעעטלף,2,7,http://mind-game.net/?utm_source=escape-bot,052-468-0124,,שנקר 14 הרצליה פיתוח,32.159128,34.808556,http://tinyurl.com/gwr7byp,http://tinyurl.com/l2sjfo2,מרכז | המרכז | שרון | השרון | הרצלייה | הרצליה פיתוח,,0,,,,,,,,,,,,0,,,,,,,1,,,,1,1,,120,120,120,110,110,110,,,,,,,120,120,120,110,110,110,,,,,
45,137,doctor-drim,"ד""ר דרים | דוקטור דרים",mindbreak,הרצליה,,#חדרבריחה_דוקטורדרים,2,6,http://mindbreak.co.il/?utm_source=escape-bot,054-2011732,,"בן גוריון 8, הרצליה",32.165538,34.842577,http://tinyurl.com/jfx4k8l,http://tinyurl.com/kvcyhuw,מרכז | המרכז | שרון | השרון | הרצלייה,,0,,,10,10,10,10,30,30,1,,,0,,,,,,,,,,,1,1,,110,90,85,80,75,,,,,,,,120,100,95,85,80,,,,,,
46,104,the-mona-lisa-robbery,שוד המונה ליזה,nowayout,הרצליה,,#חדרבריחה_המונהליזה,2,7,https://www.nowayout.co.il/rooms/mona-lisa/?utm_source=escape-bot,072-3927591,,"בן גוריון 22, הרצליה",32.162379,34.842503,http://tinyurl.com/zlny7mr,http://tinyurl.com/l8xbmkt,מרכז | המרכז | שרון | השרון | הרצלייה,,0,,,,,,,,,,10,,0,,,1,,,,,,,,,,,120,100,95,85,80,80,,,,,,,120,110,100,90,85,80,,,,,
