room_id,room_name,company_name,location,keywords,min_players,max_players,website,phone,phone_2,address,latitude,longitude,waze_link,region, region_2,is_closed_on_weekends,number_of_same_rooms,is_performance,is_vr,soldier_discount,soldier_discount_weekend,student_discount,student_discount_weekend,children_discount,children_discount_weekend,is_gift_card,escape_card,birthday_discount,is_linear,is_parallel,is_beginner,is_for_children,is_for_religious,is_scary,is_for_disabled,is_for_hearing_impaired,is_for_pregnant,is_credit_card_accepted,is_mau_and_mau_played,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,weekend_price_1,weekend_price_2,weekend_price_3, weekend_price_4,weekend_price_5,weekend_price_6,weekend_price_7,weekend_price_8,weekend_price_9
32,חופשה בסקוטלנד,brainzz,בלפוריה,,2,6,http://www.brainzz.co.il/,04-6416663,,מושב בלפוריה,32.629988,35.296281,http://tinyurl.com/js44fyg,צפון,גליל,,,,,10,10,10,10,,,,,,,,,,,,,,,1,,,100,90,80,70,70,,,,,125,110,100,90,90,,,
33,מגרש השדים,no escape,בת ים,,2,5,http://www.noescape.co.il/the-exorcist,052-5485548,,"אהוד קינמון 29, בת ים",32.010716,34.749985,http://tinyurl.com/hbqu3jd,מרכז,,,,,,,,,,,,,,,,,,0,,1,,,,0,,,110,100,90,80,,,,,,110,100,90,80,,,,
34,אימת טרנטון,rsq,בת ים,,2,6,http://rsqisrael.com/heb/index,03-6095110,,"מצודת בית""ר 8, בת ים",32.013383,34.750362,http://tinyurl.com/jxmox7f,מרכז,,,,,,,,15,15,,,,,100,1,1,0,0,,1,0,0,1,1,,,110,90,85,80,75,,,,,120,100,95,90,85,,,
35,המקפיא,rsq,בת ים,,2,4,http://rsqisrael.com/heb/index,03-6095110,,"מצודת בית""ר 8, בת ים",32.013383,34.750362,http://tinyurl.com/jxmox7f,מרכז,,,,,,,,15,15,,,,,100,,,,,,,,,,,,,110,90,85,80,75,,,,,120,100,95,90,85,,,
36,כרמן סאן דייגו,north-escape,הגושרים,,2,6,www.north-escape.co.il,055-6674537,,קיבוץ הגושרים,33.221485,35.623028,http://tinyurl.com/z68azde,צפון,גליל,,,,,10,,10,,30,,1,10,,0,1,1,1,,0,0,1,1,1,,,100,90,80,74,70,,,,,115,110,100,90,80,,,
37,המוזאון,escape plan,הוד השרון,,2,8,http://escape-plan.co.il/,058-6959503,,"בני ברית 8, הוד השרון",32.154458,34.890522,http://tinyurl.com/z6sxvy3,שרון,,,,,,20,20,10,10,50,50,,,,,,,,,,,,,,,,110,100,90,80,80,71,,,,120,110,100,90,83,74,,
38,מטריקס,braineffect,הרצליה,,2,5,http://braineffect.co.il/matrix/,09-8617767,,גלגלי הפלדה 6 הרצליה פיתוח,32.163124,34.808599,http://tinyurl.com/zyzukt3,שרון,,,,,,15,15,,,50,50,1,,,,,1,1,,,,,,,,,105,100,95,90,,,,,,105,100,95,90,,,,
39,פורדו,braineffect,הרצליה,,2,7,http://braineffect.co.il/fordow/,09-8617767,,גלגלי הפלדה 6 הרצליה פיתוח,32.163124,34.808599,http://tinyurl.com/zyzukt3,שרון,,,,,,15,15,,,50,50,1,,,,,1,1,,,,,,,,,105,100,95,90,85,80,,,,105,100,95,90,85,80,,
40,בריחת הפיראטים,brainit,הרצליה,,2,6,https://brainit.co.il/f1/room/pirates/,09-7923338,,"משכית 9, הרצליה",32.165581,34.811594,http://tinyurl.com/jnrudzl,שרון,,,,,,10,10,10,10,,,1,,100,,,,1,,,,,,,,,115,100,90,80,80,,,,,115,100,90,80,80,,,
41,האיום האיראני,breakout,הרצליה,,2,8,http://breakout.co.il/%D7%94%D7%90%D7%99%D7%95%D7%9D-%D7%94%D7%90%D7%99%D7%A8%D7%90%D7%A0%D7%99/,03-6193464,055-6628740,"הבוסתן 35, הרצליה",32.177441,34.844512,http://tinyurl.com/h74h622,שרון,,,,,,10,10,10,10,50,50,1,10,,1,1,1,1,,0,1,1,1,1,,,120,110,100,90,80,75,75,,,120,110,100,90,80,75,75,
42,האתגר: פיראטים,challenge,הרצליה,,3,7,http://www.challenge-israel.co.il/product/%D7%94%D7%90%D7%AA%D7%92%D7%A8-%D7%A4%D7%99%D7%A8%D7%90%D7%98%D7%99%D7%9D/,09-799-8833,,"ברקת 5, הרצליה",32.167421,34.806918,http://tinyurl.com/jmwq9nk,שרון,,,,,,10,10,10,10,,,,,50,1,1,1,1,,1,0,1,0,1,,,,120,115,110,100,100,,,,,120,115,110,100,100,,
43,תיקים באפלה,exit room,הרצליה,,3,6,http://exitroom.co.il/rooms/secret-files/,054-6300617,,"משכית 9, הרצליה",32.165581,34.811594,http://tinyurl.com/jnrudzl,שרון,,,2,,,10,10,,,10,10,1,,,,,,,,,,,,,,,,100,88,80,78,,,,,,100,88,80,78,,,
44,אלדורדו,exit room,אשדוד,,2,5,http://exitroom.co.il/rooms/eldorado-2-2-2-2-2-2-2-3-2-2-2/?lang=he,053-9533466,,"האורגים 39, אשדוד",31.814422,34.656281,http://tinyurl.com/grwbvhh,דרום,,,,,,10,10,,,10,10,1,,,,,,,,,,,,,,,,100,88,80,78,,,,,,100,88,80,78,,,
45,מבצע עטלף,mind gamed,הרצליה,,2,7,http://mind-game.net/,052-468-0124,,שנקר 14 הרצליה פיתוח,32.159128,34.808556,http://tinyurl.com/gwr7byp,שרון,,,,,,,,,,,,,,,,,,,,,,,,,,,120,120,120,110,110,110,,,,120,120,120,110,110,110,,
46,"ד""ר דרים",mindbreak,הרצליה,,2,6,http://mindbreak.co.il/,054-2011732,,"בן גוריון 8, הרצליה",32.165538,34.842577,http://tinyurl.com/jfx4k8l,שרון,,,,,,10,10,10,10,30,30,1,,,,,,,,,,,,,1,,110,90,85,80,75,,,,,120,100,95,85,80,,,
47,שוד המונה ליזה,nowayout,הרצליה,,2,7,https://www.nowayout.co.il/rooms/mona-lisa/,072-3927591,,"בן גוריון 22, הרצליה",32.162379,34.842503,http://tinyurl.com/zlny7mr,שרון,,,,,,,,,,,,,10,,,,,,,,,,,,,,120,100,95,85,80,80,,,,120,110,100,90,85,80,,
48,מטמון הברון,צופן הברון,זכרון יעקב,,2,5,http://baron-code.co.il,072-2409004,,"המייסדים 62, זכרון יעקב",32.574399,34.954005,http://tinyurl.com/htrlepz,שרון,,,2,,,,,,,,,,,,0,1,1,1,,0,1,1,1,1,,,110,100,90,80,,,,,,120,110,98,88,,,,
49,סודות המגילה,צופן הברון,זכרון יעקב,,2,6,http://baron-code.co.il,072-2409004,,"המייסדים 62, זכרון יעקב",32.574399,34.954005,http://tinyurl.com/htrlepz,שרון,,,2,,,,,,,,,,,,0,1,1,1,,0,1,1,1,1,,,110,100,90,80,75,,,,,120,110,98,88,80,,,
50,הגהינום,5d reality game,חולון,,2,6,http://reality-game.co.il/?page_id=43,050-5078701,,"סוקולוב 42, חולון",32.022709,34.773505,http://tinyurl.com/jxt4uar,מרכז,,,,,,,,,,,,,,,,,,,,,,,,,,,105,90,83,74,70,,,,,130,107,95,84,77,,,
51,star wars,5d reality game,חולון,,2,6,http://reality-game.co.il/?page_id=43,050-5078701,,"סוקולוב 42, חולון",32.022709,34.773505,http://tinyurl.com/jxt4uar,מרכז,,,,,,,,,,,,,,,,,,,,,,,,,,,105,90,83,74,70,,,,,130,107,95,84,77,,,
52,אובסקיוריטי,portal y,חולון,,3,10,http://www.portaly.club/obscurity,058-6076070,,"רבינוביץ' 11, חולון",31.999243,34.768505,http://tinyurl.com/hhoblzb,מרכז,,,,,,,,,,,,,,,0,1,0,0,,1,0,1,1,1,1,,,110,110,100,100,90,90,80,,,120,120,110,110,100,100,95
53,קוהינור,enigmatic,חיפה,,2,6,http://www.enigmatic.co.il/he/home-page/,054-3315338,,"שדרות מוריה 58, חיפה",32.796500,34.984357,http://tinyurl.com/z8os48t,צפון,,,,,,10,10,,,,,1,,,,,,,1,,,,,,,,100,95,90,80,75,,,,,120,105,95,85,80,,,
54,סוד הגלריה,escape challenge,חיפה,,2,7,http://www.escapechallenge.co.il/room/SecretOfTheGallery,050-2700387,,"הבונים החופשיים 11, לב המפרץ, חיפה",32.788286,35.039320,http://tinyurl.com/gse9syn,צפון,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,120,90,80,70,70,70,,,,120,100,90,84,80,80,,
55,הצלצול,exit room,חיפה,,2,6,http://exitroom.co.il/rooms/the-ring/?lang=he,053-5318227,,"שדרות הנשיא 104, חיפה",32.807755,34.986178,http://tinyurl.com/htoyu2g,צפון,,,,,,10,10,,,10,10,1,,,,,,,,1,,,,1,1,,120,100,88,80,78,,,,,120,100,88,80,78,,,
56,שוד בנק,exit room,חיפה,,2,7,http://exitroom.co.il/rooms/bank-robbery-2/?lang=he,053-6224799,,"שדרות ההסתדרות 34, חיפה",32.790736,35.033694,http://tinyurl.com/hdfwkd9,צפון,,,,,,10,10,,,10,10,1,,,,,,,,,,,,1,1,,120,100,88,80,78,77,,,,120,100,88,80,78,77,,
57,תעלומת דה וינצ'י,exit room,חיפה,,2,5,http://exitroom.co.il/rooms/da-vinci-code-2-2-2-2-2/?lang=he,053-5318227,,"שדרות הנשיא 104, חיפה",32.807755,34.986178,http://tinyurl.com/htoyu2g,צפון,,,,,,10,10,,,10,10,1,,,,,,,,,,,,1,,,120,100,88,80,,,,,,120,100,88,80,,,,
58,האוצרות המקוללים,golden fox,חיפה,,2,6,http://goldenfox.co.il/,054-8110795,,"שער פלמר 1, חיפה",32.819802,34.999984,http://tinyurl.com/zlz4rp6,צפון,,,,,,10,10,10,10,50,50,1,,,,,,,,,,,,1,,,100,90,80,70,65,,,,,120,110,95,90,80,,,
59,היער הקסום,golden key,חיפה,,4,14,http://www.mygoldenkey.co.il/haifa,074-7323909,,"יוחנן הסנדלר 18, חיפה",32.789975,35.040936,http://tinyurl.com/hyosp7h,צפון,,,,,,10,10,,,,,1,10,,,,,,,0,,,,,,,,,95,90,83,79,50,50,,,,95,90,83,79,50,50
60,הצוואה של הדוד המליונר,golden key,חיפה,,2,8,http://www.mygoldenkey.co.il/haifa,074-7323909,,"יוחנן הסנדלר 18, חיפה",32.789975,35.040936,http://tinyurl.com/hyosp7h,צפון,,,,,,10,10,,,,,1,10,,,,,,,,,,,,,,125,100,95,90,83,79,50,,,125,100,95,90,89,79,50,
61,הצוללת,golden key,חיפה,,2,8,http://www.mygoldenkey.co.il/haifa,074-7323909,,"יוחנן הסנדלר 18, חיפה",32.789975,35.040936,http://tinyurl.com/hyosp7h,צפון,,,,,,10,10,,,,,1,10,,,,,,,,,,,,,,125,100,95,90,83,79,50,,,125,100,95,90,89,79,50,
62,בלש אמיתי,quest room,חיפה,,2,6,http://www.questroom.co.il/real-detective-game,072-2133868,054-4522905,"יוחנן הסנדלר 13, חיפה",32.790122,35.040041,http://tinyurl.com/jgtvqge,צפון,,,,,,10,10,,,20,20,,,,,,,,,,,,1,1,,,100,90,80,70,70,,,,,125,110,100,90,90,,,
63,הטינה,quest room,חיפה,,2,7,http://www.questroom.co.il/the-grudge,072-2133868,050-6488656,"האשלג 18, חיפה",32.791259,35.039209,http://tinyurl.com/jmrttpw,צפון,,,,,,10,10,,,20,20,1,,,,,,,,,,,,1,,,100,90,80,70,70,70,,,,125,110,100,90,90,90,,
64,סוכן 007,quest room,חיפה,,3,7,http://www.questroom.co.il/007,072-2133868,054-3593109,"ליאון שטיין 9, חיפה",32.791219,35.036775,http://tinyurl.com/jqdzyoz,צפון,,,,,,10,10,,,20,20,,,,,,,,,,,,,1,,,,90,80,70,70,,,,,,110,100,90,90,,,
65,השתלטות U110,quest world,חיפה,,2,8,http://www.quest-world.co.il/,052-4653133,,"ההסתדרות 208, חיפה",32.807479,35.062809,http://tinyurl.com/j487gu3,צפון,,,,,,,,,,,,,,,,,,,,,,,,1,,,150,100,90,80,75,70,69,,,150,100,100,100,100,100,100,
66,האוצר האבוד של קפטן הוק,quest world,חיפה,,2,8,http://www.quest-world.co.il/,052-4653133,,"ההסתדרות 208, חיפה",32.807479,35.062809,http://tinyurl.com/j487gu3,צפון,,,,,,,,,,,,,,,,,,,,,,,,1,,,120,100,90,80,75,70,69,,,120,100,95,90,90,86,82,
67,הפולחן,question mark,חיפה,,3,7,http://questionmark.run/,052-4723463,,"מרקוני גוליאלמו 9, חיפה",32.788701,35.032508,http://tinyurl.com/h6hmzat,צפון,,,,,,,,,,,,,,,,,,,,,,,,,,,120,100,90,80,75,70,,,,,110,95,85,80,75,,
68,רייזור,question mark,חיפה,,3,7,http://questionmark.run/,052-4723463,,"מרקוני גוליאלמו 9, חיפה",32.788701,35.032508,http://tinyurl.com/h6hmzat,צפון,,,,,,,,,,,,,,,,,,,,,,,,,,,120,100,90,80,75,70,,,,,110,95,85,80,75,,
69,הקבר האבוד,questplace,חיפה,,2,6,http://www.questplace.co.il/games/the-lost-tomb/,052-6573911,,"עיר תחתית, שער פלמר 1, קומה א׳ משרד 107, חיפה",32.819802,34.999984,http://tinyurl.com/zlz4rp6,צפון,,,,,,,,,,,,,,,,,,,,,0,,0,1,,,120,100,80,80,80,,,,,120,100,80,80,80,,,
70,המרדף אחרי המליון,secret room,חיפה,,2,5,http://secretroom.co.il/quests/v-pogone-za-millionom-haifa/,058-5579797,058-5671882,"עיר תחתית, שער פלמר 1, קומה ב׳ משרד 219, חיפה",32.819802,34.999984,http://tinyurl.com/zlz4rp6,צפון,,,,,,10,10,10,10,,,,,,0,1,,,,0,0,0,0,0,,,100,100,80,80,,,,,,100,100,80,80,,,,
71,חקיין,the game,חיפה,,2,4,http://haifa-game.com/,052-7527471,,"הנמל 6, חיפה",32.817648,35.002588,http://tinyurl.com/zsdgevv,צפון,,,,,,,,,,,,,,,,,,,,,,,,,,,110,100,95,,,,,,,120,110,105,,,,,
72,הבריחה מהפנינה השחורה,best quest,חיפה,,2,8,http://bestquest.co.il/index.html,053-7170353,,"שער פלמר 1, קומה 2, חדר229",32.819802,34.999984,http://tinyurl.com/zlz4rp6,צפון,,,,,,,,,,,,,,,,,1,,,,,,,,,,110,90,75,70,70,70,70,,,120,100,88,80,80,80,75,
73,איום חד משמעי,bquest,ירושלים,,2,6,bquest.co.il,052-5416528,073-7310226,יד חרוצים 16 ירושלים,31.751703,35.216291,http://tinyurl.com/zmfzbmd,,י-ם,,,,,,,,,,,,,,,,,1,,,,,,1,,,95,83,78,70,67,,,,,120,100,90,80,75,,,
74,מכרות המלך שלמה,bquest,ירושלים,,2,6,http://bquest.co.il/solomon-mines/,052-5416528,073-7310226,יד חרוצים 16 ירושלים,31.751703,35.216291,http://tinyurl.com/zmfzbmd,,י-ם,,,,,,,,,,,,,,,,,1,,,,,,1,,,95,83,78,70,67,,,,,120,100,90,80,75,,,
75,קרייסס ,crazy mary,ירושלים,,2,5,https://www.facebook.com/horrorroomisrael/?fref=ts,050-5557471,,"הרכבים 13, ירושלים",31.753753,35.212558,http://tinyurl.com/j5y5gre,,י-ם,,,,,20,20,,,,,,,30,,,,,,,,,,1,,,100,100,100,100,,,,,,100,100,100,100,,,,
76,תעלומה במשרדי הפארק,esc room,ירושלים,,2,7,http://esctheroom.co.il/,052-3406030,053-5220520,"שטנר 7, ירושלים",31.786101,35.189882,http://tinyurl.com/hdjfgof,,י-ם,,,,,,,,,,,,,,,,,,,,,,,,,,120,110,100,90,80,75,,,,120,110,100,90,80,75,,
77,שוד המאה ,escaperoom israel,ירושלים,,2,6,http://www.escaperoom.co.il/jerusalem-the-robbery-of-the-century,079-932-2224,,"שמאי 19, ירושלים",31.781194,35.218660,http://tinyurl.com/j2f9dch,,י-ם,,2,,,20,20,,,50,50,1,,,1,1,1,,,0,,,,1,,,120,100,90,80,80,,,,,120,100,90,80,80,,,
